Drug_Name,Purpose,Indications,Warnings
nepafenac,,"1 INDICATIONS AND USAGE ILEVRO ® 0.3% is indicated for the treatment of pain and inflammation associated with cataract surgery. ILEVRO ® 0.3% is a nonsteroidal, anti-inflammatory prodrug indicated for the treatment of pain and inflammation associated with cataract surgery ( 1 ).",
aprepitant,,"1 INDICATIONS AND USAGE Aprepitant is a substance P/neurokinin 1 (NK1) receptor antagonist. Aprepitant capsules are indicated • in combination with other antiemetic agents, in patients 12 years of age and older for prevention of: o acute and delayed nausea and vomiting associated with initial and repeat courses of highly emetogenic cancer chemotherapy (HEC) including high-dose cisplatin ( 1.1 ) o nausea and vomiting associated with initial and repeat courses of moderately emetogenic cancer chemotherapy (MEC) ( 1.1 ) • for prevention of postoperative nausea and vomiting (PONV) in adults ( 1.2 ) Limitations of Use : ( 1.3 ) • Aprepitant has not been studied for treatment of established nausea and vomiting. • Chronic continuous administration of aprepitant is not recommended.",
dutasteride,,"1 INDICATIONS AND USAGE Dutasteride and tamsulosin hydrochloride capsules are a combination of dutasteride, a 5-alpha-reductase inhibitor, and tamsulosin, an alpha-adrenergic antagonist, indicated for the treatment of symptomatic benign prostatic hyperplasia (BPH) in men with an enlarged prostate. ( 1.1 ) Limitations of Use: Dutasteride-containing products, including dutasteride and tamsulosin hydrochloride capsules, are not approved for the prevention of prostate cancer. ( 1.2 ) 1.1 Benign Prostatic Hyperplasia (BPH) Treatment Dutasteride and tamsulosin hydrochloride capsules are indicated for the treatment of symptomatic BPH in men with an enlarged prostate. 1.2 Limitations of Use Dutasteride-containing products, including dutasteride and tamsulosin hydrochloride capsules, are not approved for the prevention of prostate cancer.",
entecavir,,1 INDICATIONS AND USAGE Entecavir tablets are indicated for the treatment of chronic hepatitis B virus infection in adults and pediatric patients 2 years of age and older with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases (ALT or AST) or histologically active disease. Entecavir tablets are a hepatitis B virus nucleoside analogue reverse transcriptase inhibitor indicated for the treatment of chronic hepatitis B virus infection in adults and children at least 2 years of age with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases (ALT or AST) or histologically active disease. ( 1 ),
clevidipine,,1 INDICATIONS AND USAGE Cleviprex is indicated for the reduction of blood pressure when oral therapy is not feasible or not desirable. Cleviprex is a dihydropyridine calcium channel blocker indicated for the reduction of blood pressure when oral therapy is not feasible or not desirable. (1),
solifenacin,,"1 INDICATIONS AND USAGE Solifenacin succinate tablets are indicated for the treatment of adults with overactive bladder with symptoms of urge urinary incontinence, urgency, and urinary frequency. Solifenacin succinate tablets are a muscarinic antagonist indicated for the treatment of adults with overactive bladder with symptoms of urge urinary incontinence, urgency, and urinary frequency ( 1 ).",
bazedoxifene,,"1 INDICATIONS AND USAGE DUAVEE is indicated in women with a uterus for: DUAVEE is a combination of conjugated estrogens with an estrogen agonist/antagonist indicated for treatment of the following conditions in women with a uterus: • Treatment of moderate to severe vasomotor symptoms associated with menopause ( 1.1 ) • Prevention of postmenopausal osteoporosis ( 1.2 ) Limitation of Use : DUAVEE should be used for the shortest duration consistent with treatment goals and risks for the individual woman ( 1.3 ) 1.1 Treatment of Moderate to Severe Vasomotor Symptoms Associated with Menopause 1.2 Prevention of Postmenopausal Osteoporosis 1.3 Important Limitations of Use • Use DUAVEE for the shortest duration consistent with treatment goals and risks for the individual woman. Postmenopausal women should be re-evaluated periodically as clinically appropriate to determine if treatment is still necessary. • When prescribing solely for the prevention of postmenopausal osteoporosis, therapy should only be considered for women at significant risk of osteoporosis and non-estrogen medication should be carefully considered.",
asenapine,,"1 INDICATIONS AND USAGE Asenapine is indicated for: • Bipolar I disorder [see Clinical Studies (14.2)] • Acute monotherapy of manic or mixed episodes, in pediatric patients 10 to 17 years of age • Adjunctive treatment to lithium or valproate in adults Asenapine is an atypical antipsychotic indicated for ( 1 ): Bipolar I disorder o Acute monotherapy treatment of manic or mixed episodes, in pediatric patients 10 to 17 years of age o Adjunctive treatment to lithium or valproate in adults",
cinacalcet,,"1 INDICATIONS AND USAGE Cinacalcet is a positive modulator of the calcium sensing receptor indicated for: Secondary Hyperparathyroidism (HPT) in adult patients with chronic kidney disease (CKD) on dialysis. ( 1.1 ) Limitations of Use : Cinacalcet tablets are not indicated for use in patients with CKD who are not on dialysis Hypercalcemia in adult patients with Parathyroid Carcinoma (PC). ( 1.2 ) Hypercalcemia in adult patients with primary HPT for whom parathyroidectomy would be indicated on the basis of serum calcium levels, but who are unable to undergo parathyroidectomy. ( 1.3 ) 1.1 Secondary Hyperparathyroidism Cinacalcet tablets are indicated for the treatment of secondary hyperparathyroidism (HPT) in adult patients with chronic kidney disease (CKD) on dialysis [see Clinical Studies ( 14.1 )]. Limitations of Use: Cinacalcet tablets are not indicated for use in patients with CKD who are not on dialysis because of an increased risk of hypocalcemia [see Warnings and Precautions ( 5.1 )]. 1.2 Parathyroid Carcinoma Cinacalcet tablets are indicated for the treatment of hypercalcemia in adult patients with Parathyroid Carcinoma [see Clinical Studies ( 14.2 )] . 1.3 Primary Hyperparathyroidism Cinacalcet tablets are indicated for the treatment of hypercalcemia in adult patients with primary HPT for whom parathyroidectomy would be indicated on the basis of serum calcium levels, but who are unable to undergo parathyroidectomy. [see Clinical Studies ( 14.3 )] .",
lubiprostone,,"1 INDICATIONS AND USAGE Lubiprostone is a chloride channel activator indicated for the treatment of: chronic idiopathic constipation (CIC) in adults. ( 1.1 ) opioid-induced constipation (OIC) in adult patients with chronic, non-cancer pain, including patients with chronic pain related to prior cancer or its treatment who do not require frequent (e.g., weekly) opioid dosage escalation. ( 1.2 ) Limitations of Use: Effectiveness of lubiprostone in the treatment of OIC in patients taking diphenylheptane opioids (e.g., methadone) has not been established. ( 1.2 , 7.1 ) irritable bowel syndrome with constipation (IBS-C) in women ≥ 18 years old. ( 1.3 ) 1.1 Chronic Idiopathic Constipation in Adults Lubiprostone is indicated for the treatment of chronic idiopathic constipation (CIC) in adults. 1.2 Opioid-Induced Constipation in Adult Patients with Chronic Non-Cancer Pain Lubiprostone is indicated for the treatment of opioid-induced constipation (OIC) in adult patients with chronic non-cancer pain, including patients with chronic pain related to prior cancer or its treatment who do not require frequent (e.g., weekly) opioid dosage escalation. Limitations of Use: Effectiveness of lubiprostone in the treatment of opioid-induced constipation in patients taking diphenylheptane opioids (e.g., methadone) has not been established. [see Clinical Studies (14.2) ] 1.3 Irritable Bowel Syndrome with Constipation Lubiprostone is indicated for the treatment of irritable bowel syndrome with constipation (IBS-C) in women at least 18 years old.",
methyl,Purpose Menthol - Topical analgesic Methyl salicylate - Topical analgesic,Uses temporarily relieves minor aches and pains of muscles and joints due to arthritis simple backache strains sprains,"Warnings For external use only When using this product use only as directed do not get into eyes or on mucous membranes do not apply to wounds or to damaged skin do not bandage tightly do not use with a heating pad, other heat sources, or right after a shower/bath do not use in combination with other external analgesic products Stop use and ask a doctor if condition worsens excessive irritation, burning or discomfort of the skin develops symptoms persist for more than 7 days or clear up and occur again within a few days"
sevelamer,,1 INDICATIONS AND USAGE Sevelamer carbonate tablets are indicated for the control of serum phosphorus in adults and children 6 years of age and older with chronic kidney disease (CKD) on dialysis. Sevelamer carbonate tablet is a phosphate binder indicated for the control of serum phosphorus in adults and children 6 years of age and older with chronic kidney disease on dialysis. (1 ),
colesevelam,,"1 INDICATIONS AND USAGE Colesevelam hydrochloride is a bile acid sequestrant indicated as an adjunct to diet and exercise to: reduce elevated low-density lipoprotein cholesterol (LDL-C) in adults with primary hyperlipidemia ( 1.1 ). reduce LDL-C levels in boys and postmenarchal girls, 10 to 17 years of age, with heterozygous familial hypercholesterolemia (HeFH), unable to reach LDL-C target levels despite an adequate trial of diet and lifestyle modification ( 1.1 ). improve glycemic control in adults with type 2 diabetes mellitus ( 1.2 ). Limitations of Use ( 1.3 ): Do not use for treatment of type 1 diabetes or for diabetic ketoacidosis. Not studied in Fredrickson Type I, III, IV, and V dyslipidemias 1.1 Primary Hyperlipidemia Colesevelam hydrochloride is indicated as an adjunct to diet and exercise to reduce elevated low-density lipoprotein cholesterol (LDL-C) in adults with primary hyperlipidemia. Colesevelam hydrochloride is indicated to reduce LDL-C levels in boys and postmenarchal girls, 10 to 17 years of age, with heterozygous familial hypercholesterolemia (HeFH) who are unable to reach LDL-C target levels despite an adequate trial of dietary therapy and lifestyle modification. 1.2 Type 2 Diabetes Mellitus Colesevelam hydrochloride is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus . 1.3 Limitations of Use Colesevelam hydrochloride should not be used for the treatment of type 1 diabetes or for the treatment of diabetic ketoacidosis. Colesevelam hydrochloride has not been studied in Fredrickson Type I, III, IV, and V dyslipidemias.",
tipranavir,,"1 INDICATIONS AND USAGE APTIVUS, co-administered with ritonavir, is indicated for combination antiretroviral treatment of HIV-1 infected adults and pediatric patients weighing 36 kg or higher who are treatment-experienced and infected with HIV-1 strains resistant to more than one protease inhibitor (PI) [see Use in Specific Populations (8.4) ] . This indication is based on analyses of plasma HIV-1 RNA levels in two controlled studies of APTIVUS/ritonavir of 48 weeks duration in treatment-experienced adults and one open-label 48-week study in pediatric patients. The adult studies were conducted in clinically advanced, 3-class antiretroviral (NRTI, NNRTI, PI) treatment-experienced adults with evidence of HIV-1 replication despite ongoing antiretroviral therapy. The following points should be considered when initiating therapy with APTIVUS/ritonavir: The use of APTIVUS/ritonavir in treatment-naïve patients is not recommended [ see Warnings and Precautions (5.2) ]. The use of other active agents with APTIVUS/ritonavir is associated with a greater likelihood of treatment response [ see Microbiology (12.4) and Clinical Studies (14) ]. Genotypic or phenotypic testing and/or treatment history should guide the use of APTIVUS/ritonavir [ see Microbiology (12.4) ]. The number of baseline primary protease inhibitor mutations affects the virologic response to APTIVUS/ritonavir [ see Microbiology (12.4) ]. Use caution when prescribing APTIVUS/ritonavir to patients with elevated transaminases, hepatitis B or C co-infection or patients with mild hepatic impairment [ see Warnings and Precautions (5.2) ]. Liver function tests should be performed at initiation of therapy with APTIVUS/ritonavir and monitored frequently throughout the duration of treatment [ see Warnings and Precautions (5.2) ]. The drug-drug interaction potential of APTIVUS/ritonavir when co-administered with other drugs must be considered prior to and during APTIVUS/ritonavir use [ see Contraindications (4) and Drug Interactions (7) ]. Use caution when prescribing APTIVUS/ritonavir in patients who may be at risk for increased bleeding or who are receiving medications known to increase the risk of bleeding [ see Warnings and Precautions (5.5) ]. There are no study results demonstrating the effect of APTIVUS/ritonavir on clinical progression of HIV-1. APTIVUS, a protease inhibitor, co-administered with ritonavir, is indicated for combination antiretroviral treatment of HIV-1 infected adult and pediatric patients weighing 36 kg or higher who are treatment-experienced and infected with HIV-1 strains resistant to more than one protease inhibitor ( 1 ) Do not use APTIVUS/ritonavir in treatment-naïve patients ( 1 )",
Anidulafungin,,"1 INDICATIONS AND USAGE ERAXIS is an echinocandin antifungal indicated for the treatment of the following infections: • Candidemia and other forms of Candida infections (intra-abdominal abscess and peritonitis) in adults and pediatric patients (1 month of age and older) ( 1.1 ) • Esophageal candidiasis in adults ( 1.2 ) Limitations of use • ERAXIS has not been studied in adult and pediatric patients with endocarditis, osteomyelitis, and meningitis due to Candida or in sufficient numbers of neutropenic patients. The dosage of ERAXIS for the treatment of Candida dissemination into the CNS and the eye has not been established. ( 1.3 , 5.3 , 8.4 ) • ERAXIS is associated with high relapse rates in esophageal candidiasis. ( 1.3 , 14.2 ) 1.1 Candidemia and Other Forms of Candida Infections (Intra-abdominal Abscess and Peritonitis) ERAXIS is indicated for the treatment of candidemia and the following Candida infections: intra-abdominal abscess and peritonitis in adults and pediatric patients 1 month of age and older [see Clinical Studies (14.1) and Microbiology (12.4) ] . 1.2 Esophageal Candidiasis ERAXIS is indicated for the treatment of esophageal candidiasis in adults [see Indications and Usage (1.3) , Clinical Studies (14.2) ] . 1.3 Limitations of Use • ERAXIS has not been studied in adult and pediatric patients with endocarditis, osteomyelitis, and meningitis due to Candida , and has not been studied in sufficient numbers of neutropenic patients to determine efficacy in this group. The dosage of ERAXIS for the treatment of Candida dissemination into the CNS and the eye has not been established [see Warning and Precautions (5.3) , Use in Specific Populations (8.4) ] . • ERAXIS is associated with high relapse rates in esophageal candidiasis [see Clinical Studies (14.2) ] . 1.4 Usage Specimens for fungal culture and other relevant laboratory studies (including histopathology) should be obtained prior to therapy to isolate and identify causative organism(s). Therapy may be instituted before the results of the cultures and other laboratory studies are known. However, once these results become available, antifungal therapy should be adjusted accordingly.",
varenicline,,1 INDICATIONS AND USAGE Varenicline tablets are indicated for use as an aid to smoking cessation treatment. Varenicline tablets are a nicotinic receptor partial agonist indicated for use as an aid to smoking cessation treatment. ( 1 and 2.1 ),
erlotinib,,"1 INDICATIONS AND USAGE Erlotinib tablet is a kinase inhibitor indicated for: The treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test receiving ﬁrst-line, maintenance, or second or greater line treatment after progression following at least one prior chemotherapy regimen ( 1.1 ) First-line treatment of patients with locally advanced, unrespectable or metastatic pancreatic cancer, in combination with gemcitabine. ( 1.2 ) Limitations of Use: Safety and efﬁcacy of erlotinib tablets have not been established in patients with NSCLC whose tumors have other EGFR mutations. ( 1.1 ) Erlotinib tablets are not recommended for use in combination with platinum-based chemotherapy. ( 1.1 ) 1.1 Non-Small Cell Lung Cancer (NSCLC) Erlotinib Tablets was indicated for: The treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test receiving ﬁrst-line, maintenance, or second or greater line treatment after progression following at least one prior chemotherapy regimen [see Clinical Studies (14.1 , 14.3) ] . Limitations of use: Safety and efﬁcacy of erlotinib have not been established in patients with NSCLC whose tumors have other EGFR mutations [see Clinical Studies (14.1, 14.2) ]. Erlotinib tablet is not recommended for use in combination with platinum-based chemotherapy [see Clinical Studies ( 14.4 )]. 1.2 Pancreatic Cancer Erlotinib tablet in combination with gemcitabine is indicated for the ﬁrst-line treatment of patients with locally advanced, unresectable or metastatic pancreatic cancer [see Clinical Studies (14.5) ] .",
S-benzoylmercaptoacetyltriglycine,"USES USES: Temporary Relief - Fever* * Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.",INDICATIONS Condition listed above or as directed by the physician,"WARNINGS This product is to be used for self-limiting conditions If symptoms do not improve in 4 days, or worsen, discontinue use and seek assistance of health professional As with any drug, if you are pregnant, or nursing a baby, seek professional advice before taking this product Keep this and all medication out of reach of children Do not use if capseal is broken or missing. Close the cap tightly after use."
etravirine,,"1 INDICATIONS AND USAGE Etravirine, in combination with other antiretroviral agents, is indicated for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in antiretroviral treatment-experienced adult patients and pediatric patients 2 years of age and older [see Microbiology (12.4) and Clinical Studies (14) ] Etravirine is a human immunodeficiency virus type 1 (HIV-1) non-nucleoside reverse transcriptase inhibitor (NNRTI) indicated for treatment of HIV-1 infection in treatment-experienced patients 2 years of age and older. (1)",
gadobenate,,"1 INDICATIONS AND USAGE magnetic resonance imaging (MRI) of the central nervous system (CNS) in adults and pediatric patients (including term neonates), to visualize lesions with abnormal blood-brain barrier or abnormal vascularity of the brain, spine, and associated tissues. (1.1) magnetic resonance angiography (MRA) to evaluate adults with known or suspected renal or aorto-ilio-femoral occlusive vascular disease. (1.2) 1.1 Magnetic Resonance Imaging (MRI) of the Central Nervous System (CNS) MultiHance is indicated for intravenous use in magnetic resonance imaging (MRI) of the central nervous system (CNS) in adults and pediatric patients (including term neonates), to visualize lesions with abnormal blood-brain barrier or abnormal vascularity of the brain, spine, and associated tissues. 1.2 Magnetic Resonance Angiography (MRA) of Renal and Aorto-ilio-femoral Vessels MultiHance is indicated for use in magnetic resonance angiography (MRA) to evaluate adults with known or suspected renal or aorto-ilio-femoral occlusive vascular disease.",
ambrisentan,,,
L-Dmp,Purposes Purposes,"Uses reduces the duration of the common cold reduces the severity of cold symptoms: cough, sore throat, nasal congestion, post nasal drip and/or hoarseness supports immune system health* helps with general debility and fatigue*","Warnings Do not use for treatment of influenza or allergies. This product is intended only to reduce the duration of the common cold and its symptoms. Ask a doctor before use if you have • diabetes • multiple sclerosis (MS) • rheumatoid arthritis (RA) or other auto-immune condition Ask a doctor or pharmacist before use if you are taking minocycline, doxycycline, tetracycline or are on Coumadin (warfarin) therapy. Zinc treatment may inhibit the absorption of these medicines. When using this product do not take on an empty stomach (to avoid possible minor stomach upset) Stop use and ask your doctor if symptoms persist more than 7 days If pregnant or breastfeeding , ask a healthcare professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away."
dronedarone,,"1 INDICATIONS AND USAGE MULTAQ ® is indicated to reduce the risk of hospitalization for atrial fibrillation in patients in sinus rhythm with a history of paroxysmal or persistent atrial fibrillation (AF) [see Clinical Studies (14) ] . MULTAQ is an antiarrhythmic drug indicated to reduce the risk of hospitalization for atrial fibrillation (AF) in patients in sinus rhythm with a history of paroxysmal or persistent AF ( 1 , 14 ).",
ramelteon,,"1 INDICATIONS AND USAGE Ramelteon Tablets are indicated for the treatment of insomnia characterized by difficulty with sleep onset. The clinical trials performed in support of efficacy were up to six months in duration. The final formal assessments of sleep latency were performed after two days of treatment during the crossover study (elderly only), at five weeks in the six week studies (adults and elderly), and at the end of the six month study (adults and elderly) [see Clinical Studies (14) ] . Ramelteon Tablets are indicated for the treatment of insomnia characterized by difficulty with sleep onset. (1)",
lapatinib,,"1 INDICATIONS AND USAGE Lapatinib tablets are indicated in combination with: capecitabine for the treatment of patients with advanced or metastatic breast cancer whose tumors overexpress human epidermal growth factor receptor 2 (HER2) and who have received prior therapy, including an anthracycline, a taxane, and trastuzumab. Limitations of Use : Patients should have disease progression on trastuzumab prior to initiation of treatment with lapatinib tablets in combination with capecitabine. letrozole for the treatment of postmenopausal women with hormone receptor-positive metastatic breast cancer that overexpresses the HER2 receptor for whom hormonal therapy is indicated. Lapatinib tablets in combination with an aromatase inhibitor has not been compared to a trastuzumab-containing chemotherapy regimen for the treatment of metastatic breast cancer. Lapatinib tablets are a kinase inhibitor indicated in combination with: ( 1 ) capecitabine for the treatment of patients with advanced or metastatic breast cancer whose tumors overexpress human epidermal growth factor receptor 2 (HER2) and who have received prior therapy, including an anthracycline, a taxane, and trastuzumab. Limitations of Use : Patients should have disease progression on trastuzumab prior to initiation of treatment with lapatinib tablets in combination with capecitabine. letrozole for the treatment of postmenopausal women with hormone receptor-positive metastatic breast cancer that overexpresses the HER2 receptor for whom hormonal therapy is indicated. Lapatinib tablets in combination with an aromatase inhibitor has not been compared to a trastuzumab-containing chemotherapy regimen for the treatment of metastatic breast cancer.",
dabigatran,,1 INDICATIONS AND USAGE Dabigatran etexilate capsules are a direct thrombin inhibitor indicated: • To reduce the risk of stroke and systemic embolism in adult patients with non-valvular atrial fibrillation ( 1.1 ) • For the treatment of deep venous thrombosis (DVT) and pulmonary embolism (PE) in adult patients who have been treated with a parenteral anticoagulant for 5 to 10 days ( 1.2 ) • To reduce the risk of recurrence of DVT and PE in adult patients who have been previously treated ( 1.3 ) • For the prophylaxis of DVT and PE in adult patients who have undergone hip replacement surgery ( 1.4 ) • For the treatment of venous thromboembolic events (VTE) in pediatric patients 8 to less than 18 years of age who have been treated with a parenteral anticoagulant for at least 5 days ( 1.5 ) • To reduce the risk of recurrence of VTE in pediatric patients 8 to less than 18 years of age who have been previously treated ( 1.6 ) 1.1 Reduction of Risk of Stroke and Systemic Embolism in Non-valvular Atrial Fibrillation in Adult Patients Dabigatran etexilate capsules are indicated to reduce the risk of stroke and systemic embolism in adult patients with non-valvular atrial fibrillation. 1.2 Treatment of Deep Venous Thrombosis and Pulmonary Embolism in Adult Patients Dabigatran etexilate capsules are indicated for the treatment of deep venous thrombosis and pulmonary embolism in adult patients who have been treated with a parenteral anticoagulant for 5 to 10 days. 1.3 Reduction in the Risk of Recurrence of Deep Venous Thrombosis and Pulmonary Embolism in Adult Patients Dabigatran etexilate capsules are indicated to reduce the risk of recurrence of deep venous thrombosis and pulmonary embolism in adult patients who have been previously treated. 1.4 Prophylaxis of Deep Vein Thrombosis and Pulmonary Embolism in Adult PatientsFollowing Hip Replacement Surgery Dabigatran etexilate capsules are indicated for the prophylaxis of deep vein thrombosis and pulmonary embolism in adult patients who have undergone hip replacement surgery. 1.5 Treatment of Venous Thromboembolic Events in Pediatric Patients Dabigatran etexilate capsules are indicated for the treatment of venous thromboembolic events (VTE) in pediatric patients 8 to less than 18 years of age who have been treated with a parenteral anticoagulant for at least 5 days [see Dosage and Administration (2.3)] . 1.6 Reduction in the Risk of Recurrence of Venous Thromboembolic Events in Pediatric Patients Dabigatran etexilate capsules are indicated to reduce the risk of recurrence of VTE in pediatric patients 8 to less than 18 years of age who have been previously treated [see Dosage and Administration (2.3)] .,
darunavir,,"1 INDICATIONS AND USAGE Darunavir, co-administered with ritonavir (darunavir/ritonavir), in combination with other antiretroviral agents, is indicated for the treatment of human immunodeficiency virus (HIV-1) infection in adult and pediatric patients 3 years of age and older [see Use in Specific Populations ( 8.4 ) and Clinical Studies ( 14 )]. Darunavir is a human immunodeficiency virus (HIV-1) protease inhibitor indicated for the treatment of HIV-1 infection in adult and pediatric patients 3 years of age and older. Darunavir must be co-administered with ritonavir (darunavir/ritonavir) and with other antiretroviral agents. ( 1 )",
lurasidone,,"1 INDICATIONS AND USAGE Lurasidone hydrochloride tablets are indicated for: • Treatment of adult and adolescent patients (13 to 17 years) with schizophrenia [see Clinical Studies ( 14.1 )] . • Monotherapy treatment of adult and pediatric patients (10 to 17 years) with major depressive episode associated with bipolar I disorder (bipolar depression) [see Clinical Studies ( 14.2 )]. • Adjunctive treatment with lithium or valproate in adult patients with major depressive episode associated with bipolar I disorder (bipolar depression) [see Clinical Studies ( 14.2 )]. Lurasidone hydrochloride tablets are an atypical antipsychotic indicated for the treatment of: • Schizophrenia in adults and adolescents (13 to 17 years) ( 1 , 14.1 ) • Depressive episode associated with Bipolar I Disorder (bipolar depression) in adults and pediatric patients (10 to 17 years) as monotherapy ( 1 , 14.2 ) • Depressive episode associated with Bipolar I Disorder (bipolar depression) in adults as adjunctive therapy with lithium or valproate ( 1 , 14.2 )",
luliconazole,,"1 INDICATIONS AND USAGE Luliconazole Cream, 1% is indicated for the topical treatment of interdigital tinea pedis, tinea cruris, and tinea corporis caused by the organisms Trichophyton rubrum and Epidermophyton floccosum . Luliconazole Cream, 1% is an azole antifungal indicated for the topical treatment of interdigital tinea pedis, tinea cruris, and tinea corporis caused by the organisms Trichophyton rubrum and Epidermophyton floccosum. ( 1 )",
aliskiren,,"1 INDICATIONS AND USAGE Tekturna is a renin inhibitor (RI) indicated for the treatment of hypertension in adults and in pediatric patients weighing 50 kg or greater who are at least 6 years of age, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. ( 1.1 ) 1.1 Hypertension Tekturna is indicated for the treatment of hypertension in adults and in pediatric patients weighing 50 kg or greater who are at least 6 years of age and older to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes. There are no controlled trials demonstrating risk reduction with Tekturna. Control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessation, exercise, and limited sodium intake. Many patients will require more than 1 drug to achieve blood pressure goals. For specific advice on goals and management, see published guidelines, such as those of the National High Blood Pressure Education Program's Joint National Committee on Prevention, Detection, Evaluation, and Treatment of High Blood Pressure (JNC). Numerous antihypertensive drugs, from a variety of pharmacologic classes and with different mechanisms of action, have been shown in randomized controlled trials to reduce cardiovascular morbidity and mortality, and it can be concluded that it is blood pressure reduction, and not some other pharmacologic property of the drugs, that is largely responsible for those benefits. The largest and most consistent cardiovascular outcome benefit has been a reduction in the risk of stroke, but reductions in myocardial infarction and cardiovascular mortality have also been seen regularly. Elevated systolic or diastolic pressure causes increased cardiovascular risk, and the absolute risk increase per mmHg is greater at higher blood pressures, so that even modest reductions of severe hypertension can provide substantial benefit. Relative risk reduction from blood pressure reduction is similar across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (e.g., patients with diabetes or hyperlipidemia), and such patients would be expected to benefit from more aggressive treatment to a lower blood pressure goal. Some antihypertensive drugs have smaller blood pressure effects (as monotherapy) in black patients, and many antihypertensive drugs have additional approved indications and effects (e.g., on angina, heart failure, or diabetic kidney disease). These considerations may guide selection of therapy.",
tolvaptan,,1 INDICATIONS AND USAGE JYNARQUE is indicated to slow kidney function decline in adults at risk of rapidly progressing autosomal dominant polycystic kidney disease (ADPKD). JYNARQUE is a selective vasopressin V 2 -receptor antagonist indicated to slow kidney function decline in adults at risk of rapidly progressing autosomal dominant polycystic kidney disease (ADPKD) ( 1 ),
sorafenib,,"Sorafenib tablets are a kinase inhibitor indicated for the treatment of Unresectable hepatocellular carcinoma(1.1) Locally recurrent or metastatic, progressive, differentiated thyroid carcinoma (DTC) refractory to radioactive iodine treatment (1.3) 1.1 Hepatocellular Carcinoma Sorafenib tablets are indicated for the treatment of patients with unresectable hepatocellular carcinoma (HCC). 1.3 Differentiated Thyroid Carcinoma Sorafenib tablets are indicated for the treatment of patients with locally recurrent or metastatic, progressive,differentiated thyroid carcinoma (DTC) that is refractory to radioactive iodine treatment.",
lenalidomide,,"1 INDICATIONS AND USAGE Lenalidomide is a thalidomide analogue indicated for the treatment of adult patients with: Multiple myeloma (MM), in combination with dexamethasone ( 1.1 ). MM, as maintenance following autologous hematopoietic stem cell transplantation (auto-HSCT) ( 1.1 ). Transfusion-dependent anemia due to low- or intermediate-1-risk myelodysplastic syndromes (MDS) associated with a deletion 5q abnormality with or without additional cytogenetic abnormalities ( 1.2 ). Mantle cell lymphoma (MCL) whose disease has relapsed or progressed after two prior therapies, one of which included bortezomib ( 1.3 ). Previously treated marginal zone lymphoma (MZL), in combination with a rituximab product ( 1.5 ). Previously treated follicular lymphoma (FL), in combination with a rituximab product ( 1.4 ). Limitations of Use: Lenalidomide capsules are not indicated and are not recommended for the treatment of patients with chronic lymphocytic leukemia (CLL) outside of controlled clinical trials ( 1.6 ). 1.1 Multiple Myeloma Lenalidomide capsules in combination with dexamethasone are indicated for the treatment of adult patients with multiple myeloma (MM). Lenalidomide capsules are indicated as maintenance therapy in adult patients with MM following autologous hematopoietic stem cell transplantation (auto-HSCT). 1.2 Myelodysplastic Syndromes Lenalidomide capsules are indicated for the treatment of adult patients with transfusion-dependent anemia due to low- or intermediate-1-risk myelodysplastic syndromes (MDS) associated with a deletion 5q cytogenetic abnormality with or without additional cytogenetic abnormalities. 1.3 Mantle Cell Lymphoma Lenalidomide capsules are indicated for the treatment of adult patients with mantle cell lymphoma (MCL) whose disease has relapsed or progressed after two prior therapies, one of which included bortezomib. 1.4 Follicular Lymphoma Lenalidomide capsules in combination with a rituximab product, are indicated for the treatment of adult patients with previously treated follicular lymphoma (FL). 1.5 Marginal Zone Lymphoma Lenalidomide capsules in combination with a rituximab product, are indicated for the treatment of adult patients with previously treated marginal zone lymphoma (MZL). 1.6 Limitations of Use Lenalidomide capsules are not indicated and are not recommended for the treatment of patients with CLL outside of controlled clinical trials [see Warnings and Precautions ( 5.5 )] .",
regadenoson,,1 INDICATIONS AND USAGE Regadenoson injection is a pharmacologic stress agent indicated for radionuclide myocardial perfusion imaging (MPI) in patients unable to undergo adequate exercise stress. Regadenoson injection is a pharmacologic stress agent indicated for radionuclide myocardial perfusion imaging (MPI) in patients unable to undergo adequate exercise stress (1) .,
